Date,Close,Open,High,Low,Volume
2020-07-31,740.73,745.33,747.56,731.14,58080.0
2020-08-03,757.86,740.33,758.3,738.64,75710.0
2020-08-04,768.22,759.19,768.46,759.19,62080.0
2020-08-05,780.71,768.22,782.09,761.26,84980.0
2020-08-06,781.6,780.69,787.27,776.04,64069.99999999999
2020-08-07,782.15,781.61,785.99,778.45,68200.0
2020-08-10,784.3,782.5,791.67,782.5,79380.0
2020-08-11,784.57,784.74,788.92,781.04,60220.0
2020-08-12,788.42,784.58,790.01,784.23,71950.0
2020-08-13,795.09,789.26,795.69,789.26,62110.0
2020-08-14,791.98,795.13,801.61,789.12,85640.0
2020-08-17,791.54,791.89,793.61,782.52,57170.0
2020-08-18,786.95,791.6,792.13,784.93,41660.0
2020-08-19,789.41,787.23,791.85,786.01,51470.0
2020-08-20,786.11,789.41,793.35,783.57,65870.0
2020-08-21,793.6,786.14,795.05,786.14,78120.0
2020-08-24,809.69,793.46,810.17,793.46,102480.0
2020-08-25,815.18,809.34,818.94,809.34,107200.0
2020-08-26,812.36,815.19,816.68,811.45,89050.0
2020-08-27,814.55,812.47,814.64,810.68,72350.0
2020-08-28,821.93,814.55,828.88,814.55,102830.0
2020-08-31,823.93,822.01,831.76,820.66,82420.0
2020-09-01,832.03,823.93,832.87,821.74,78820.0
2020-09-03,843.64,832.27,844.27,832.27,104710.0
2020-09-04,840.54,843.22,843.22,833.54,103340.0
2020-09-07,824.36,840.64,843.8,824.36,98250.0
2020-09-08,827.57,824.62,829.22,819.02,81330.0
2020-09-09,824.42,827.5,828.38,816.51,82990.0
2020-09-10,825.85,824.42,832.61,824.42,67660.0
2020-09-11,825.56,825.81,827.83,821.97,64099.99999999999
2020-09-14,832.24,825.69,833.09,825.69,65500.0
2020-09-15,833.33,832.27,835.42,831.13,87510.0
2020-09-16,834.5,833.31,834.52,831.33,54110.0
2020-09-17,831.84,834.6,837.76,829.08,96610.0
2020-09-18,841.26,831.84,842.1,831.84,94170.0
2020-09-21,851.54,841.28,852.65,841.28,106120.0
2020-09-22,852.72,851.54,854.69,846.03,130389.99999999999
2020-09-23,858.3,852.88,860.34,852.88,111920.0
2020-09-24,853.21,858.14,858.89,852.29,90210.0
2020-09-25,854.71,853.19,856.79,850.1,105360.0
2020-09-28,863.31,854.84,863.98,854.84,134680.0
2020-09-29,856.2,863.59,871.99,856.2,135080.0
2020-09-30,858.54,856.2,860.1,852.54,104920.0
2020-10-01,867.58,859.27,868.3,859.27,106520.0
2020-10-02,861.51,867.58,870.8,850.61,164530.0
2020-10-05,867.7,861.51,869.09,861.51,115090.0
2020-10-06,871.37,867.74,872.39,866.12,148280.0
2020-10-07,870.85,870.98,876.31,867.06,157150.0
2020-10-08,869.82,870.88,873.13,864.55,139810.0
2020-10-09,874.53,869.8,875.52,868.36,115720.0
2020-10-12,874.9,874.72,882.84,871.58,130259.99999999999
2020-10-13,878.35,874.58,879.25,872.36,103920.0
2020-10-14,892.15,878.94,892.25,878.94,176570.0
2020-10-15,899.2,896.5,901.71,893.94,167590.0
2020-10-16,901.59,899.58,906.17,892.7,157350.0
2020-10-19,903.51,899.61,906.16,899.61,142170.0
2020-10-20,909.49,903.57,909.49,899.42,179990.0
2020-10-21,906.1,909.49,918.14,905.08,152210.0
2020-10-22,918.3,906.1,918.3,901.96,133650.0
2020-10-23,930.3,918.84,930.59,918.84,163040.0
2020-10-26,919.56,929.5,942.72,919.56,167430.0
2020-10-27,915.46,919.56,926.52,914.72,189910.0
2020-10-28,888.88,913.31,916.0,888.88,183440.0
2020-10-29,886.68,887.99,894.19,879.74,151630.0
2020-10-30,892.55,887.34,893.42,875.84,130030.0
2020-11-02,899.27,892.68,900.03,889.83,83560.0
2020-11-03,902.14,899.73,904.78,897.3,110880.0
2020-11-04,905.48,902.38,910.59,900.74,112220.0
2020-11-05,903.64,905.55,913.2,903.64,97630.0
2020-11-06,902.91,903.68,907.67,899.51,79120.0
2020-11-09,917.42,902.91,917.42,902.91,108930.0
